"Chapter" "Word"
1 "st"
1 "petersburgh"
1 "dec"
1 "th"
1 "to"
1 "mrs"
1 "saville"
1 "england"
1 "you"
1 "will"
1 "rejoice"
1 "to"
1 "hear"
1 "that"
1 "no"
1 "disaster"
1 "has"
1 "accompanied"
1 "the"
1 "commencement"
1 "of"
1 "an"
1 "enterprise"
1 "which"
1 "you"
1 "have"
1 "regarded"
1 "with"
1 "such"
1 "evil"
1 "forebodings"
1 "i"
1 "arrived"
1 "here"
1 "yesterday"
1 "and"
1 "my"
1 "first"
1 "task"
1 "is"
1 "to"
1 "assure"
1 "my"
1 "dear"
1 "sister"
1 "of"
1 "my"
1 "welfare"
1 "and"
1 "increasing"
1 "confidence"
1 "in"
1 "the"
1 "success"
1 "of"
1 "my"
1 "undertaking"
1 "i"
1 "am"
1 "already"
1 "far"
1 "north"
1 "of"
1 "london"
1 "and"
1 "as"
1 "i"
1 "walk"
1 "in"
1 "the"
1 "streets"
1 "of"
1 "petersburgh"
1 "i"
1 "feel"
1 "a"
1 "cold"
1 "northern"
1 "breeze"
1 "play"
1 "upon"
1 "my"
1 "cheeks"
1 "which"
1 "braces"
1 "my"
1 "nerves"
1 "and"
1 "fills"
1 "me"
1 "with"
1 "delight"
1 "do"
1 "you"
1 "understand"
1 "this"
1 "feeling"
1 "this"
1 "breeze"
1 "which"
1 "has"
1 "travelled"
1 "from"
1 "the"
1 "regions"
1 "towards"
1 "which"
1 "i"
1 "am"
1 "advancing"
1 "gives"
1 "me"
1 "a"
1 "foretaste"
1 "of"
1 "those"
1 "icy"
1 "climes"
1 "inspirited"
1 "by"
1 "this"
1 "wind"
1 "of"
1 "promise"
1 "my"
1 "daydreams"
1 "become"
1 "more"
1 "fervent"
1 "and"
1 "vivid"
1 "i"
1 "try"
1 "in"
1 "vain"
1 "to"
1 "be"
1 "persuaded"
1 "that"
1 "the"
1 "pole"
1 "is"
1 "the"
1 "seat"
1 "of"
1 "frost"
1 "and"
1 "desolation"
1 "it"
1 "ever"
1 "presents"
1 "itself"
1 "to"
1 "my"
1 "imagination"
1 "as"
1 "the"
1 "region"
1 "of"
1 "beauty"
1 "and"
1 "delight"
1 "there"
1 "margaret"
1 "the"
1 "sun"
1 "is"
1 "forever"
1 "visible"
1 "its"
1 "broad"
1 "disk"
1 "just"
1 "skirting"
1 "the"
1 "horizon"
1 "and"
1 "diffusing"
1 "a"
1 "perpetual"
