Date,OPEN,HIGH,LOW,LAST,VOLUME
2/1/2008,27632.2,27853.6,27299.45,27560.52,1232142976
3/1/2008,27050.03,27223.71,26864.13,26887.28,2442743808
4/1/2008,27004.34,27596.86,26994.85,27519.69,2375522304
7/1/2008,26962.54,27186.07,26698.54,27179.49,2452932096
8/1/2008,27466.96,27637.6,27088.7,27112.9,2492360960
9/1/2008,26847.49,27625.83,26757.03,27615.85,2714684928
10/1/2008,27426.42,27596.5,27115.82,27230.86,2704613888
11/1/2008,27435.51,27593.7,26725.95,26867.01,2950312448
14/1/2008,27019.13,27142.88,26464.64,26468.13,2050189952
15/1/2008,26728.93,26800.52,25823.5,25837.78,2333391360
16/1/2008,25131.11,25131.11,24320.03,24450.85,4294639616
17/1/2008,24705.08,25381.91,23957.61,25114.98,3535112704
18/1/2008,24247.17,25378.24,24134.25,25201.87,3155112704
21/1/2008,24459.02,24650.28,23770.13,23818.86,3252136192
22/1/2008,22624.29,22713.69,21709.63,21757.63,5979656192
23/1/2008,23359.2,24239.98,22647.28,24090.17,5350497280
24/1/2008,24396.85,24966.17,23478.87,23539.27,4254019072
25/1/2008,24801.46,25243.58,24483.93,25122.37,3929030912
28/1/2008,24342.39,24384.27,23586.52,24053.61,3088035840
29/1/2008,24640.1,24736.8,24229.14,24291.8,1953154816
30/1/2008,24605.15,24631.59,23586.37,23653.69,2550839552
31/1/2008,23789.72,23887.17,23052.95,23455.74,2460015104
1/2/2008,23791.92,24238.3,23322.05,24123.58,3429329920
4/2/2008,24885.07,25101.41,24728.5,25032.08,3259179264
5/2/2008,24710.1,24961.98,24504.53,24808.7,1704108928
6/2/2008,23458.15,23592.31,23283.97,23469.46,2714642944
11/2/2008,23404.74,23404.74,22569.53,22616.11,2369935872
12/2/2008,22953.78,23146.44,22891.22,22921.67,1584831360
13/2/2008,23330.09,23534.49,22938.05,23169.55,2066015744
14/2/2008,23893.51,24140.29,23756.45,24021.68,2799158784
15/2/2008,23511.47,24208.51,23446.37,24148.43,1920019456
18/2/2008,24344.27,24413.89,23735.87,23759.25,1666302208
19/2/2008,24040.66,24402.64,24025.05,24123.17,2524465408
20/2/2008,24265.32,24265.32,23481.06,23590.58,2652384768
21/2/2008,23957.64,24003.6,23500.95,23623,1680737152
22/2/2008,23233.9,23420.35,23077.51,23305.04,1760169344
25/2/2008,23546.1,23552.99,23164.97,23269.14,1323817216
26/2/2008,23564.77,23762.4,23395.26,23714.75,1621023360
