V-1_Project_Locality,V-2_Total_Floor_Area,V-3_Lot_Area,V-7_Construction_Duration,V-9_Sale_Price,Year_Sold
StoneBr,344.855936,1058.536782,1.0,394432.0,2010.0
NridgHt,364.551372,1194.546774,2.0,376162.0,2010.0
NridgHt,359.53461,943.801577,2.0,395192.0,2010.0
NridgHt,286.884464,1196.869349,2.0,290941.0,2010.0
NridgHt,286.327046,1131.744346,1.0,220000.0,2010.0
NridgHt,436.086682,1200.213857,2.0,611657.0,2010.0
NridgHt,252.324548,591.885013,2.0,224000.0,2010.0
Somerst,226.311708,856.101145,2.0,204500.0,2010.0
Somerst,273.878044,409.051909,1.0,222000.0,2010.0
Somerst,284.28318,1194.082259,1.0,267916.0,2010.0
Timber,225.568484,910.728109,2.0,179781.0,2010.0
Timber,254.740026,1115.114709,2.0,269500.0,2010.0
StoneBr,413.41835,1618.648969,2.0,501837.0,2009.0
StoneBr,380.15907599999997,1100.343132,1.0,372500.0,2009.0
Somerst,257.062601,743.595612,1.0,263435.0,2009.0
NridgHt,470.646598,1255.862754,2.0,485000.0,2009.0
NridgHt,379.415852,1180.239712,2.0,253293.0,2009.0
NridgHt,376.721665,1147.35205,1.0,398800.0,2009.0
NridgHt,374.027478,1135.27466,1.0,402861.0,2009.0
NridgHt,423.266068,1290.515573,2.0,582933.0,2009.0
NridgHt,279.080612,886.387523,1.0,233170.0,2009.0
NridgHt,350.05850399999997,686.55317,2.0,320000.0,2009.0
Somerst,272.763208,892.983636,2.0,244600.0,2009.0
Somerst,292.737353,860.467586,2.0,287090.0,2009.0
Somerst,255.669056,802.68192,1.0,252678.0,2009.0
Somerst,226.311708,730.403386,1.0,208300.0,2009.0
Somerst,266.817416,742.573679,2.0,225000.0,2009.0
Somerst,242.848442,802.68192,1.0,229456.0,2009.0
Somerst,328.133396,853.499861,1.0,370878.0,2009.0
Somerst,341.139816,754.836875,2.0,264500.0,2009.0
SawyerW,269.4187,680.793184,2.0,224243.0,2009.0
Somerst,170.569908,367.059753,1.0,164500.0,2009.0
Somerst,170.569908,278.709,1.0,173733.0,2009.0
Somerst,320.701156,355.81849,1.0,222000.0,2009.0
OldTown,203.271764,413.975768,89.0,113000.0,2009.0
CollgCr,300.541205,1015.708499,1.0,323262.0,2009.0
Crawfor,301.377332,357.026229,2.0,230000.0,2009.0
Timber,235.787814,1222.510577,1.0,224500.0,2009.0
NridgHt,358.977192,1156.084932,1.0,394617.0,2008.0
NridgHt,372.912642,1158.872022,2.0,426000.0,2008.0
NridgHt,386.662286,1375.243109,2.0,385000.0,2008.0
NridgHt,386.940995,1388.714044,1.0,446261.0,2008.0
NridgHt,293.945092,1180.239712,1.0,317500.0,2008.0
NridgHt,317.72826,1290.515573,2.0,372402.0,2008.0
NridgHt,345.970772,939.24933,1.0,336860.0,2008.0
NridgHt,316.241812,814.666407,1.0,367294.0,2008.0
NridgHt,334.4508,764.777496,2.0,370967.0,2008.0
Blmngtn,222.223976,344.67013,2.0,187687.0,2008.0
NridgHt,251.581324,678.284803,2.0,217300.0,2008.0
Somerst,279.080612,1355.176061,1.0,264132.0,2008.0
Somerst,264.309035,1140.291422,1.0,227680.0,2008.0
Somerst,262.822587,875.889484,2.0,297900.0,2008.0
Somerst,254.089705,802.68192,2.0,212700.0,2008.0
Somerst,254.92583199999999,802.68192,2.0,250580.0,2008.0
Somerst,265.330968,1081.298017,2.0,182000.0,2008.0
Somerst,289.114136,1003.3524,2.0,339750.0,2008.0
Somerst,226.311708,696.7725,2.0,230348.0,2008.0
CollgCr,184.319552,986.258248,1.0,177439.0,2008.0
CollgCr,326.739851,1094.211534,1.0,395039.0,2008.0
Edwards,1091.796056,5935.293961,1.0,160000.0,2008.0
Crawfor,302.120556,519.049061,1.0,392500.0,2008.0
Crawfor,301.377332,357.026229,2.0,294464.0,2008.0
Timber,305.093452,884.43656,2.0,293077.0,2008.0
Timber,250.8381,1193.989356,1.0,264966.0,2008.0
Timber,223.710424,1116.508254,1.0,218689.0,2008.0
StoneBr,464.329194,4828.540522,2.0,591587.0,2007.0
StoneBr,263.658714,751.492367,1.0,392000.0,2007.0
StoneBr,351.544952,1288.56461,2.0,455000.0,2007.0
NridgHt,335.008218,1158.407507,2.0,356000.0,2007.0
NridgHt,339.09595,1086.407682,1.0,314813.0,2007.0
NridgHt,314.755364,1117.62309,1.0,318000.0,2007.0
NridgHt,314.755364,1098.577975,2.0,322400.0,2007.0
NridgHt,322.187604,1122.732755,1.0,318000.0,2007.0
NridgHt,392.97969,1331.578699,1.0,345474.0,2007.0
NridgHt,394.094526,1342.44835,2.0,415298.0,2007.0
NridgHt,426.42477,1267.289823,1.0,492000.0,2007.0
NridgHt,339.839174,1248.61632,2.0,338931.0,2007.0
NridgHt,300.541205,1314.949062,1.0,280000.0,2007.0
NridgHt,474.176912,1290.515573,1.0,479069.0,2007.0
NridgHt,363.064924,1321.638078,1.0,395000.0,2007.0
NridgHt,367.152656,1391.408231,2.0,440000.0,2007.0
NridgHt,428.28283,1595.051607,1.0,500067.0,2007.0
NridgHt,346.899802,1547.671077,2.0,260116.0,2007.0
NridgHt,280.381254,901.995227,1.0,319500.0,2007.0
NridgHt,347.735929,981.241486,1.0,325624.0,2007.0
NridgHt,252.045839,1167.604904,1.0,281500.0,2007.0
NridgHt,290.414778,997.034996,2.0,250000.0,2007.0
NridgHt,241.919412,362.414603,2.0,204000.0,2007.0
NridgHt,347.271414,726.50146,1.0,318061.0,2007.0
NridgHt,246.007144,579.7147199999999,1.0,221370.0,2007.0
Gilbert,210.332392,1468.79643,1.0,181755.0,2007.0
Gilbert,210.611101,951.048011,3.0,178900.0,2007.0
Gilbert,191.937598,1226.691212,2.0,168165.0,2007.0
Gilbert,207.45239899999999,822.841871,1.0,171925.0,2007.0
Gilbert,227.054932,903.853287,2.0,198444.0,2007.0
Gilbert,202.900152,837.799254,1.0,179540.0,2007.0
Gilbert,241.919412,835.476679,1.0,176485.0,2007.0
Gilbert,248.98004,826.743797,1.0,181134.0,2007.0
Gilbert,188.407284,789.582597,2.0,156932.0,2007.0
Gilbert,209.589168,764.498787,1.0,166000.0,2007.0
Gilbert,202.900152,716.560839,1.0,177594.0,2007.0
Gilbert,232.629112,715.074391,1.0,173500.0,2007.0
Blmngtn,233.743948,364.365566,2.0,172500.0,2007.0
Blmngtn,247.12198,364.365566,2.0,194201.0,2007.0
Blmngtn,235.23039599999998,344.67013,1.0,185485.0,2007.0
Gilbert,281.960605,1015.987208,1.0,206580.0,2007.0
Somerst,254.368414,920.66873,1.0,213133.0,2007.0
Somerst,286.512852,1099.04249,1.0,260261.0,2007.0
Somerst,365.294596,1141.870773,1.0,419005.0,2007.0
Somerst,333.52177,927.729358,2.0,147000.0,2007.0
Somerst,283.911568,925.778395,1.0,235876.0,2007.0
Somerst,320.701156,874.774648,1.0,311872.0,2007.0
