DATE,IPUEN3331C020000000
1987-01-01,3315.314
1988-01-01,5437.533
1989-01-01,4854.930
1990-01-01,5848.394
1991-01-01,4329.511
1992-01-01,4307.583
1993-01-01,5419.221
1994-01-01,6561.630
1995-01-01,6891.683
1996-01-01,6975.895
1997-01-01,8912.142
1998-01-01,10055.062
1999-01-01,5636.222
2000-01-01,6237.358
2001-01-01,6643.907
2002-01-01,6393.883
2003-01-01,6323.262
2004-01-01,9790.173
2005-01-01,10898.083
2006-01-01,13324.925
2007-01-01,15286.613
2008-01-01,17314.387
2009-01-01,14220.317
2010-01-01,20065.190
2011-01-01,24802.674
2012-01-01,25566.813
2013-01-01,20609.326
2014-01-01,29944.600
2015-01-01,15960.440
2016-01-01,9979.251
2017-01-01,13980.168
2018-01-01,16087.365
2019-01-01,15861.144
2020-01-01,12439.198
2021-01-01,17315.182
