DATE,CIU2012300000000I
2001-01-01,85.1
2001-04-01,86.1
2001-07-01,86.8
2001-10-01,87.4
2002-01-01,88.0
2002-04-01,88.5
2002-07-01,89.2
2002-10-01,90.1
2003-01-01,90.9
2003-04-01,92.2
2003-07-01,93.0
2003-10-01,93.5
2004-01-01,94.5
2004-04-01,95.4
2004-07-01,96.5
2004-10-01,96.7
2005-01-01,97.4
2005-04-01,98.5
2005-07-01,99.7
2005-10-01,100.0
2006-01-01,100.7
2006-04-01,101.9
2006-07-01,103.0
2006-10-01,103.6
2007-01-01,104.7
2007-04-01,105.9
2007-07-01,106.9
2007-10-01,107.6
2008-01-01,108.9
2008-04-01,110.1
2008-07-01,110.6
2008-10-01,110.9
2009-01-01,110.9
2009-04-01,111.2
2009-07-01,111.5
2009-10-01,111.7
2010-01-01,112.1
2010-04-01,112.3
2010-07-01,112.8
2010-10-01,112.7
2011-01-01,112.8
2011-04-01,113.6
2011-07-01,113.9
2011-10-01,114.5
2012-01-01,114.6
2012-04-01,115.2
2012-07-01,116.0
2012-10-01,116.3
2013-01-01,117.0
2013-04-01,117.6
2013-07-01,118.4
2013-10-01,118.6
2014-01-01,118.6
2014-04-01,119.1
2014-07-01,120.1
2014-10-01,120.7
2015-01-01,120.7
2015-04-01,121.6
2015-07-01,122.6
2015-10-01,123.4
2016-01-01,123.5
2016-04-01,124.6
2016-07-01,124.9
2016-10-01,125.8
2017-01-01,126.6
2017-04-01,127.3
2017-07-01,128.3
2017-10-01,128.8
2018-01-01,129.7
2018-04-01,131.1
2018-07-01,131.8
2018-10-01,132.4
2019-01-01,133.4
2019-04-01,134.7
2019-07-01,136.4
2019-10-01,137.0
2020-01-01,137.6
2020-04-01,139.1
2020-07-01,139.7
2020-10-01,140.3
2021-01-01,141.3
2021-04-01,143.3
2021-07-01,143.9
2021-10-01,145.2
2022-01-01,146.1
2022-04-01,149.0
2022-07-01,150.2
2022-10-01,151.4
2023-01-01,153.3
2023-04-01,155.1
2023-07-01,156.3
2023-10-01,157.7
2024-01-01,159.2
2024-04-01,159.4
2024-07-01,160.7
