DATE,BPPRIV019169
1990-01-01,290
1991-01-01,358
1992-01-01,445
1993-01-01,516
1994-01-01,475
1995-01-01,461
1996-01-01,387
1997-01-01,671
1998-01-01,779
1999-01-01,837
2000-01-01,674
2001-01-01,500
2002-01-01,882
2003-01-01,744
2004-01-01,736
2005-01-01,946
2006-01-01,484
2007-01-01,360
2008-01-01,327
2009-01-01,122
2010-01-01,167
2011-01-01,457
2012-01-01,447
2013-01-01,536
2014-01-01,539
2015-01-01,555
2016-01-01,709.0
2017-01-01,902.0
2018-01-01,626.0
2019-01-01,507.0
2020-01-01,220.0
2021-01-01,331.0
2022-01-01,221.0
2023-01-01,165.0
